dagger_global_weight,ridge_factor,lambda,nominal_val_collective_norm_rmse,dagger_val_collective_norm_rmse,dagger_improvement_fraction,score,feasible
1.0,1e-07,0.0013882277379398274,0.005135698620028064,0.059858136586397846,0.7046232289691352,0.06242598589641188,True
1.0,3e-07,0.004164683213819482,0.005134062272505468,0.05998965665391857,0.7039742282637097,0.0625566877901713,True
1.0,1e-06,0.013882277379398273,0.005128834004173694,0.060434331033670796,0.7017799320503322,0.06299874803575764,True
1.0,3e-06,0.041646832138194825,0.0051174565260421285,0.06160027870290367,0.696026430899626,0.06415900696592473,True
1.0,1e-05,0.13882277379398275,0.0051026075792296255,0.06476467962552362,0.6804113352739635,0.06731598341513843,True
1.0,3e-05,0.4164683213819482,0.005134867698691692,0.06992551540782019,0.6549446051662691,0.07249294925716604,True
1.0,0.0001,1.3882277379398276,0.005375323970223449,0.07674152387328959,0.6213102375319968,0.07942918585840131,True
1.0,0.0003,4.164683213819482,0.005990794632607312,0.0826181570662436,0.5923113238327352,0.08561355438254727,True
1.0,0.001,13.882277379398275,0.007291251141309622,0.08859352390860843,0.5628251977306459,0.09223914947926325,False
2.0,1e-07,0.0013632864368219382,0.005225016076942645,0.05393036743023299,0.7338744788846265,0.05654287546870431,True
2.0,3e-07,0.004089859310465815,0.005223742740747572,0.05403941412152629,0.7333363756057293,0.05665128549190008,True
2.0,1e-06,0.013632864368219384,0.005219695103783516,0.05441946891228374,0.7314609520908875,0.0570293164641755,True
2.0,3e-06,0.040898593104658154,0.005211075725602261,0.05543306534804595,0.7264592453990713,0.058038603210847084,True
2.0,1e-05,0.13632864368219386,0.005201970258249766,0.05835205908731126,0.7120551393821889,0.060953044216436145,True
2.0,3e-05,0.4089859310465815,0.005240527643570659,0.06362922726025416,0.6860143538849515,0.0662494910820395,True
2.0,0.0001,1.3632864368219384,0.005492725941111428,0.07144817350723882,0.6474308758983841,0.07419453647779453,True
2.0,0.0003,4.0898593104658145,0.006160553111445892,0.0783893713675656,0.6131787469817019,0.08146964792328855,False
2.0,0.001,13.632864368219384,0.007600988363351773,0.08480136898374453,0.5815380167529745,0.08860186316542042,False
4.0,1e-07,0.001327720862702351,0.005384761517677625,0.04864383299463897,0.7599614832683225,0.051336213753477786,True
4.0,3e-07,0.003983162588107053,0.0053835939725905575,0.04873337923959982,0.7595196071558529,0.0514251762258951,True
4.0,1e-06,0.01327720862702351,0.005379883929501126,0.049048323963978395,0.7579654766558852,0.05173826592872896,True
4.0,3e-06,0.03983162588107053,0.0053720156252259205,0.049909061327064116,0.7537180704131781,0.05259506913967708,True
4.0,1e-05,0.13277208627023512,0.00536442206128219,0.05254200905956,0.7407254908931802,0.0552242200902011,True
4.0,3e-05,0.3983162588107053,0.00540637936604074,0.057840070386544366,0.7145816057552029,0.06054326006956474,True
4.0,0.0001,1.3277208627023511,0.00567987870298209,0.06661443141125505,0.6712835250741037,0.06945437076274609,True
4.0,0.0003,3.983162588107053,0.006426545735416539,0.07477711078494056,0.6310038569477932,0.07799038365264883,False
4.0,0.001,13.27720862702351,0.008039482014950715,0.0819722668054856,0.5954985426561548,0.08599200781296096,False
6.0,1e-07,0.0013035797445816505,0.005533335774121955,0.045920937881358946,0.7733979183510534,0.04868760576841993,True
6.0,3e-07,0.003910739233744951,0.005532059882125791,0.04600174837798244,0.7729991497805752,0.048767778319045336,True
6.0,1e-06,0.013035797445816504,0.005527980807694463,0.046279125107467046,0.7716304028167266,0.04904311551131428,True
6.0,3e-06,0.03910739233744952,0.005519142575972641,0.04705409550533359,0.76780622340152,0.04981366679331991,True
6.0,1e-05,0.13035797445816505,0.00550905270439095,0.04952333252597917,0.7556214929761846,0.05227785887817465,True
6.0,3e-05,0.39107392337449515,0.005549632925043473,0.05481510079827398,0.7295086616310604,0.057589917260795716,True
6.0,0.0001,1.3035797445816506,0.005844542888083746,0.06411746702898766,0.6836050793134119,0.06703973847302953,True
6.0,0.0003,3.910739233744951,0.006665722411820264,0.07299452112319191,0.6398002480215502,0.07632738232910204,False
6.0,0.001,13.035797445816504,0.00841997243811184,0.08069052853322399,0.6018234256838925,0.08490051475227992,False
