forward_ft,position_error_ft,cross_track_ft,altitude_ft,forward_speed_fps,lateral_speed_fps,mission_ground_forward_speed_fps,mission_ground_cross_speed_fps,vertical_speed_fps,pitch_deg,roll_deg,pitch_rate_rad_s,heading_error_deg,physical_collective_cmd,physical_elevator_cmd,physical_aileron_cmd,physical_rudder_cmd,v_des_fps,collective_correction,elevator_residual,action0,action1,action2,action3,time_s,phase
226.50364739531602,73.49635260468398,-2.3885800825347347,302.4423808421884,4.546862997400867,0.012368196538066853,4.547709267289269,0.0439289123125279,-0.3542451943065565,0.1515142187288751,-2.9119563578034273,0.0010990825647095243,0.1626946814771533,0.6047904300689697,-0.17746494948863983,0.18496999989151955,0.39,3.6210973017948622,0.18863884657571495,-0.9412950037684836,-0.5069856643676758,-0.9275699853897095,-0.23000000417232513,0.0,19.575,approach
226.8440883886452,73.15591161135481,-2.385404161773848,302.41587559343407,4.528874100443853,0.00922942326363986,4.529754240994657,0.04077388377984806,-0.3525571629812832,0.15625269527116145,-2.9122629133543367,0.0010679281485127421,0.164036291798152,0.6048081666231155,-0.17750241488218307,0.18496999989151955,0.39,3.602299393257619,0.1892379980511344,-0.9423654390138289,-0.5063944458961487,-0.9286404252052307,-0.23000000417232513,0.0,19.65,approach
227.18317503262296,72.81682496737704,-2.3824650700641814,302.3894977616601,4.510687013756833,0.006123945726286467,4.5116000387844855,0.037612591075875834,-0.35084765242277843,0.16082866345492475,-2.912532477359895,0.0010340632031381797,0.16492057776486072,0.6048258012533188,-0.17753033399581908,0.18496999989151955,0.39,3.5835751386245147,0.189830591754732,-0.9431631055223131,-0.5058066248893738,-0.9294381141662598,-0.23000000417232513,0.0,19.724999999999998,approach
227.5208926504384,72.47910734956159,-2.3797633071969813,302.36324890234755,4.492308870054888,0.003050801336290418,4.493253658873058,0.034443798149119534,-0.34911834326430524,0.16523021177107872,-2.9127684337322997,0.0009976267878407511,0.16533751008283015,0.6048433339595795,-0.17754889875650404,0.18496999989151955,0.39,3.5649253732057375,0.19041678544093057,-0.943693514144819,-0.5052222013473511,-0.929968535900116,-0.23000000417232513,0.0,19.8,approach
227.85722709665896,72.14277290334104,-2.3772994877474765,302.3371304245138,4.473747278102041,8.23516620518383e-06,4.474722583140608,0.031266126283400746,-0.34737086481450424,0.16944643863683514,-2.9129740431164803,0.0009587597087530832,0.16528506538576387,0.6048607647418975,-0.17755831986665727,0.18496999989151955,0.39,3.5463509042258874,0.19099673412129012,-0.9439627122533192,-0.5046411752700806,-0.9302377104759216,-0.23000000417232513,0.0,19.875,approach
228.19216481944156,71.80783518055844,-2.3750743453307837,302.3111436428212,4.455010275278106,-0.0030062276659284792,4.456014728428899,0.028078107019000438,-0.3456067745770012,0.1734674562121203,-2.913152394838262,0.0009176043431153761,0.16476916639167744,0.6048781043291092,-0.17755882889032362,0.18496999989151955,0.39,3.527852509683757,0.19157059104232604,-0.943977249000778,-0.5040631890296936,-0.9302522540092468,-0.23000000417232513,0.0,19.95,approach
228.5256928657206,71.4743071342794,-2.373088698609609,302.2852897450375,4.436106281688408,-0.005995699664164814,4.437138399864313,0.024878235349243837,-0.3438275573164746,0.17728438640786262,-2.913306365779524,0.0008743039456664102,0.16380348780479062,0.6048953509330749,-0.17755066990852356,0.18496999989151955,0.39,3.5094309349307142,0.19213850366460394,-0.9437441316611608,-0.503488302230835,-0.9300191402435303,-0.23000000417232513,0.0,20.025,approach
228.8577989174925,71.14220108250751,-2.3713435022875102,302.2595698147784,4.4170440630182455,-0.008963839230878151,4.41810226070335,0.02166502318281472,-0.34203463940553414,0.18088934632028808,-2.9134385815114276,0.0008290017244775685,0.16240913352777592,0.6049125027656556,-0.17753410160541533,0.18496999989151955,0.39,3.491086892385367,0.19270061452685144,-0.9432707814117084,-0.5029165744781494,-0.9295457601547241,-0.23000000417232513,0.0,20.099999999999998,approach
229.18847132033343,70.81152867966657,-2.3698398088700388,302.23398481524737,4.397832684645898,-0.011914750479248018,4.398915285018899,0.018437050908866957,-0.3402293802279794,0.1842754248318193,-2.9135513835012907,0.0007818408396496741,0.16061419015607778,0.604929565191269,-0.17750939935445786,0.18496999989151955,0.39,3.472821059537913,0.19325706228531248,-0.9425650000313773,-0.5023478269577026,-0.9288399815559387,-0.23000000417232513,0.0,20.175,approach
229.51769911450538,70.48230088549462,-2.368578768668138,302.2085356413472,4.378481467881752,-0.01485287789745654,4.379586712495774,0.015193016426095019,-0.33841306964023615,0.18743665338020063,-2.913646805762266,0.0007329639074864256,0.1584531666625464,0.6049465364217758,-0.17747684687376022,0.18496999989151955,0.39,3.454634077381661,0.1938079811699365,-0.941634925584938,-0.5017821192741394,-0.9279099106788635,-0.23000000417232513,0.0,20.25,approach
