phase,time_s,teacher_action0,teacher_action1,teacher_action2,teacher_action3,hold_s,forward_ft,position_error_ft,cross_track_ft,altitude_ft,forward_speed_fps,lateral_speed_fps,mission_ground_forward_speed_fps,mission_ground_cross_speed_fps,vertical_speed_fps,heading_error_rad,heading_error_deg,pitch_rad,roll_rad,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,rotor_rpm,physical_collective_cmd,physical_elevator_cmd,physical_aileron_cmd,physical_rudder_cmd,vs_des_fps,vertical_bias_effective,collective_residual,mapped_physical_elevator_cmd,settle30_s,mode,vertical_bias_state,feedforward_mode,feedforward_collective,requested_physical_collective,applied_physical_collective,hover9_s,touchdown_elapsed_s,ramp_baseline_collective,ramp_rate_per_s,contact_collective_reference,vs_error_fps,desired_physical_collective,wow_detected,max_compression_ft,target_landed_collective,landed_hold_s
pre_descent_hold,0.075,-0.46831953525543213,-1.0,-0.044279150664806366,0.003466634312644601,0.0,294.1014210993455,5.898578900654513,2.0332058279932457,299.2548900220263,0.8856464255872212,-0.09105138636576754,0.8858461745036359,-0.08952882847323633,0.00012208862401534744,0.0020931175332776775,0.11992680068164456,-0.004713569704722501,-0.05027907195490534,8.049347390155545e-05,5.100877892861332e-05,-9.319062477316191e-05,323.45568083995806,0.6059504139423371,-0.18,0.18979874208271505,0.3901386653725058,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.15,-0.4684622883796692,-1.0,-0.043553534895181656,0.003461836837232113,0.0,294.1677070966953,5.832292903304676,2.026430593229438,299.2549026444726,0.8818449862342996,-0.09267506023481255,0.8820478252484103,-0.09117206409211293,0.00021239758341502768,0.0020858292845451487,0.11950921478922909,-0.00470289137842949,-0.050274329636103766,4.093014330667714e-05,0.00024671254035258056,-8.58993769727188e-05,323.4564424285217,0.60594613134861,-0.18,0.1898176080927253,0.3901384734734893,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.22499999999999998,-0.46868228912353516,-1.0,-0.04316258057951927,0.0034564549569040537,0.0,294.2337117000345,5.766288299965481,2.019531986604445,299.25492145596763,0.8781361863548707,-0.09430265325743968,0.8783419694442625,-0.09281768113954064,0.0002855341019307716,0.002078548010225223,0.11909202850122036,-0.004681524158027101,-0.05027207258857395,2.2374811758931395e-05,0.0003193781287867221,-7.869997058807118e-05,323.45721731537003,0.605939531326294,-0.18,0.1898277729049325,0.3901382581982762,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.3,-0.4687997102737427,-1.0,-0.04297904670238495,0.003453827230259776,0.0,294.2994402284586,5.700559771541407,2.012510033031768,299.2549450865272,0.8744617004852506,-0.09593053267723563,0.8746703560705108,-0.0944622009368443,0.0003425550700241909,0.002071690701889839,0.11869913367478298,-0.004657964913716498,-0.05027018853843309,3.0311399328669803e-05,0.0003086262475268933,-7.171187865681464e-05,323.45800195438636,0.6059360086917878,-0.18,0.189832544785738,0.3901381530892104,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.375,-0.4688265919685364,-1.0,-0.04266682267189026,0.0034525603987276554,0.0,294.3648922905574,5.635107709442593,2.005364775045256,299.25497267706123,0.8707490598821637,-0.09755872929736686,0.8709605980604547,-0.0961062725679581,0.00039288365068343087,0.002065434107243469,0.11834065720742183,-0.004636103958470385,-0.05026742954874631,4.346332793202788e-05,0.00027931147894284596,-6.501585555737099e-05,323.4587836188931,0.6059352022409439,-0.18,0.18984066261053087,0.3901381024159491,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.45,-0.46883291006088257,-1.0,-0.04233073443174362,0.0034516174346208572,0.0,294.43006377259104,5.569936227408959,1.9980962385890133,299.25500404207287,0.8669718966385371,-0.0991866526963514,0.8671863653168592,-0.09774975838423297,0.0004440852417758063,0.0020597678367790806,0.11801600382423275,-0.004616183622255258,-0.05026382741911494,5.195178441388995e-05,0.0002585494977293188,-5.8624282858769285e-05,323.45955434868233,0.6059350126981735,-0.18,0.18984940090477467,0.3901380646973848,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.525,-0.46885043382644653,-1.0,-0.042040642350912094,0.0034506088122725487,0.0,294.49494984539325,5.505050154606749,1.9907045176710434,299.25503938006295,0.8631328657078214,-0.10081313970320582,0.8633503166286969,-0.0993916525885448,0.0004988576982632616,0.002054631017493147,0.11772168575902735,-0.0045974571294122015,-0.050259744406360385,5.6397048369544754e-05,0.0002468069014721004,-5.255579848360986e-05,323.4603138149074,0.6059344869852066,-0.18,0.18985694329887629,0.3901380243524909,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.6,-0.4688788652420044,-1.0,-0.041785478591918945,0.003449494717642665,0.0,294.55954619305015,5.440453806949847,1.9831897657307904,299.25507896111685,0.8592404181708402,-0.10243709737148848,0.8594608959094973,-0.10103087134288544,0.0005571412455322566,0.0020499736235803923,0.11745483674429658,-0.004579448802468336,-0.05025538843458836,5.950435499904383e-05,0.00023825233673839427,-4.687151790257436e-05,323.4610651112308,0.6059336340427398,-0.18,0.18986357755661012,0.39013797978870574,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.6749999999999999,-0.4689105749130249,-1.0,-0.04154062643647194,0.0034483359195291996,0.0,294.62384903623246,5.376150963767543,1.9755522211312408,299.2551230260433,0.8552997049409088,-0.10405765383321473,0.8555232475077271,-0.10266653392724802,0.0006183308040302159,0.002045758741647585,0.11721334179840076,-0.004562055725700491,-0.050250804792185286,6.261376266197396e-05,0.00022954546146804688,-4.1659155618861536e-05,323.4618111826321,0.6059326827526093,-0.18,0.18986994371265173,0.39013793343678116,,,,,,,,,,,,,,,,,,,,,,
pre_descent_hold,0.7499999999999999,-0.4689415693283081,-1.0,-0.04129558429121971,0.0034471722319722176,0.0,294.68785484446306,5.312145155536939,1.967792177446602,299.25517177658776,0.8513127352703675,-0.10567407392842332,0.8515393761735284,-0.10429792082804602,0.0006820934751942519,0.002041950043766061,0.11699511948434903,-0.004545321165223798,-0.05024598429995152,6.58564385224602e-05,0.00022014206539558513,-3.700817578910233e-05,323.4625537949769,0.6059317529201508,-0.18,0.1898763148084283,0.3901378868892789,,,,,,,,,,,,,,,,,,,,,,
