epoch,train_weighted_mse,val_weighted_mse,val_normalized_rmse,novel_val_normalized_rmse
1,0.032536147934658956,0.001211613300256431,0.03395976126194,0.03395976126194
2,0.0006712745793236186,0.00044720835285261273,0.021084265783429146,0.021084265783429146
3,0.0002592460877969582,0.00020710536045953631,0.014714880846440792,0.014714880846440792
4,0.00012370384221575503,0.00011974635708611459,0.011197513900697231,0.011197513900697231
5,7.967455872643228e-05,8.730603440199047e-05,0.009618667885661125,0.009618667885661125
6,5.9190504269987584e-05,6.56981865176931e-05,0.008338762447237968,0.008338762447237968
7,4.685870450428213e-05,5.4177813581191e-05,0.007660609669983387,0.007660609669983387
8,3.8849402199306907e-05,4.588599767885171e-05,0.007095250301063061,0.007095250301063061
9,3.237243420232479e-05,3.8712085370207205e-05,0.006533958483487368,0.006533958483487368
10,2.7733383158272837e-05,3.3576063287910074e-05,0.006149719003587961,0.006149719003587961
11,2.4987293568605118e-05,3.332572305225767e-05,0.006106710527092218,0.006106710527092218
12,2.126354109623657e-05,2.627970934554469e-05,0.005497720558196306,0.005497720558196306
13,1.834038410687018e-05,2.3995458832359873e-05,0.005254233255982399,0.005254233255982399
14,1.6330101428751873e-05,2.0535217117867433e-05,0.004878106527030468,0.004878106527030468
15,1.4964591505728974e-05,1.8791099137160927e-05,0.004608837887644768,0.004608837887644768
16,1.3650123377402078e-05,1.793985029507894e-05,0.0045506274327635765,0.0045506274327635765
17,1.2596014452034517e-05,1.5488227290916257e-05,0.004251123871654272,0.004251123871654272
18,1.1013490397264203e-05,1.5539659216301516e-05,0.0042665558867156506,0.0042665558867156506
19,1.1219090844103162e-05,1.3937800758867525e-05,0.003982229623943567,0.003982229623943567
20,9.84421890065346e-06,1.4655667655461002e-05,0.00398648576810956,0.00398648576810956
21,8.802069076779859e-06,1.1711751540133264e-05,0.003695871215313673,0.003695871215313673
22,8.521392814066578e-06,1.1969654224230908e-05,0.0037670275196433067,0.0037670275196433067
23,8.062073689519283e-06,1.0710649803513661e-05,0.0035630844067782164,0.0035630844067782164
24,8.238205387334444e-06,1.0898632353928406e-05,0.0035650760401040316,0.0035650760401040316
25,7.431075854576823e-06,9.678679816715885e-06,0.0033535445109009743,0.0033535445109009743
26,6.172525883500733e-06,8.68709776113974e-06,0.003102742601186037,0.003102742601186037
27,6.221530897363265e-06,8.436463758698665e-06,0.0031298347748816013,0.0031298347748816013
28,6.250533940706112e-06,1.616841291252058e-05,0.00417714100331068,0.00417714100331068
29,6.53406855399895e-06,7.796837962814607e-06,0.002973075257614255,0.002973075257614255
30,5.131426691036169e-06,7.517727226513671e-06,0.002958725206553936,0.002958725206553936
31,5.364608196680926e-06,9.986401892092545e-06,0.003297783201560378,0.003297783201560378
32,5.807136961431608e-06,9.309781489719171e-06,0.003195452503859997,0.003195452503859997
33,6.110871703033933e-06,7.3483433880028315e-06,0.0028780370485037565,0.0028780370485037565
34,5.35436768933432e-06,1.1302161510684527e-05,0.003345467383041978,0.003345467383041978
35,7.004191647931909e-06,8.937292477639858e-06,0.0030830414034426212,0.0030830414034426212
36,5.279068253513642e-06,1.0806546015373897e-05,0.0033922588918358088,0.0033922588918358088
37,6.27523137932266e-06,6.518082500406308e-06,0.0026588337495923042,0.0026588337495923042
38,4.513788304785595e-06,6.1579144130519126e-06,0.0026551363989710808,0.0026551363989710808
39,4.823378814352978e-06,1.1098354661953636e-05,0.0032607312314212322,0.0032607312314212322
40,7.828925857000298e-06,8.137786608131137e-06,0.002676247851923108,0.002676247851923108
41,8.978311755874183e-06,1.597132177266758e-05,0.00407128781080246,0.00407128781080246
42,4.8716005623910355e-06,5.762786713603418e-06,0.0026114259380847216,0.0026114259380847216
43,4.01773682633615e-06,6.21881008555647e-06,0.0025879472959786654,0.0025879472959786654
44,4.760662358692182e-06,5.292468813422602e-06,0.0024510303046554327,0.0024510303046554327
45,5.867334459253858e-06,2.2353266103891656e-05,0.004692142363637686,0.004692142363637686
46,9.84102581864622e-06,9.638327355787624e-06,0.0028824307955801487,0.0028824307955801487
47,1.0034748408724704e-05,1.4818709132669028e-05,0.0034789936617016792,0.0034789936617016792
48,8.14811463324206e-06,8.897412953956518e-06,0.003089288016781211,0.003089288016781211
49,4.9244321397762155e-06,5.1331899157958105e-06,0.0023656070698052645,0.0023656070698052645
50,7.211508756168737e-06,7.606508461321937e-06,0.002803148701786995,0.002803148701786995
51,1.8254208091181464e-05,1.8795586584019475e-05,0.004317909944802523,0.004317909944802523
52,7.2754389147123125e-06,7.570655270683346e-06,0.0027018121909350157,0.0027018121909350157
53,4.040364031592097e-06,4.7533694669255055e-06,0.0023375102318823338,0.0023375102318823338
54,4.142591508684073e-06,8.020237146411091e-06,0.003020636038854718,0.003020636038854718
55,6.316110249785054e-06,9.77746367425425e-06,0.003250467823818326,0.003250467823818326
56,9.88468372791582e-06,5.68576206205762e-06,0.002451572334393859,0.002451572334393859
57,4.288236030936174e-06,5.703028364223428e-06,0.002600048203021288,0.002600048203021288
58,3.927662274058394e-06,4.8435531425639056e-06,0.0022637522779405117,0.0022637522779405117
59,6.401163940654063e-06,7.0258511186693795e-06,0.00267837499268353,0.00267837499268353
60,5.0166287697543125e-06,5.393010269472143e-06,0.002350554335862398,0.002350554335862398
61,6.303799608866451e-06,7.961542905832175e-06,0.002839504275470972,0.002839504275470972
62,4.939421495505677e-06,7.210403055069037e-06,0.002576281316578388,0.002576281316578388
63,6.57482703579027e-06,1.7859347281046212e-05,0.003604298457503319,0.003604298457503319
64,7.3304580375719095e-06,5.5165910453069955e-06,0.002435876987874508,0.002435876987874508
65,6.828656392912577e-06,6.971604761929484e-06,0.002644479274749756,0.002644479274749756
66,4.078045890045517e-06,8.179655196727253e-06,0.003039550269022584,0.003039550269022584
67,6.632835363827335e-06,1.0736518561316188e-05,0.003076781751587987,0.003076781751587987
68,1.363067385221398e-05,8.192533641704358e-06,0.002540277549996972,0.002540277549996972
69,7.305708593729319e-06,8.169484317477327e-06,0.002783388365060091,0.002783388365060091
70,2.9748023718500732e-05,2.0798355762963183e-05,0.004538064822554588,0.004538064822554588
71,6.795348680635108e-06,5.1839410843967926e-06,0.002396821044385433,0.002396821044385433
72,2.49158393481076e-06,3.879880750901066e-06,0.0021089459769427776,0.0021089459769427776
73,3.5663057839736317e-06,5.423332822829252e-06,0.0024977256543934345,0.0024977256543934345
74,6.383021214695401e-06,6.6584475462150294e-06,0.0025410179514437914,0.0025410179514437914
75,4.454746629160722e-06,9.32576585910283e-06,0.002512753941118717,0.002512753941118717
76,9.952273691930871e-06,5.395795596996322e-06,0.002388204913586378,0.002388204913586378
77,9.035393090894612e-06,4.1526723180140834e-06,0.0021844394505023956,0.0021844394505023956
78,2.927311808770877e-06,5.077378773421515e-06,0.0022189682349562645,0.0022189682349562645
79,4.208515724061637e-06,5.928980499447789e-06,0.0025359613355249166,0.0025359613355249166
80,5.9446061433002805e-06,8.596282896178309e-06,0.002896200865507126,0.002896200865507126
81,3.1887292553139985e-06,5.4635847845929675e-06,0.0024232068099081516,0.0024232068099081516
82,2.6377768236042095e-05,1.6895537555683404e-05,0.003586254548281431,0.003586254548281431
83,1.2268024447737171e-05,6.98744361216086e-06,0.0025891088880598545,0.0025891088880598545
84,4.028220988631674e-06,5.78246590521303e-06,0.002258896129205823,0.002258896129205823
85,5.733912988039666e-06,3.2039056350186e-06,0.001902253832668066,0.001902253832668066
86,2.9685968998526417e-06,9.617941032047383e-06,0.0031159857753664255,0.0031159857753664255
87,5.916173095101646e-06,4.600442025548546e-06,0.002138816751539707,0.002138816751539707
88,4.265766801740467e-06,4.764123332279269e-06,0.0022068351972848177,0.0022068351972848177
89,3.770254443612573e-06,5.285919996822486e-06,0.002365815918892622,0.002365815918892622
90,4.717785138047524e-06,4.167975021118764e-06,0.0020894897170364857,0.0020894897170364857
91,6.926362892850406e-06,1.840703589550685e-05,0.0041930596344172955,0.0041930596344172955
92,5.379559830346918e-06,3.3725050343491603e-06,0.0018878279952332377,0.0018878279952332377
93,3.7319929431576836e-06,8.710600923222955e-06,0.0028774698730558157,0.0028774698730558157
94,8.014589714388876e-06,7.353088676609332e-06,0.0026504003908485174,0.0026504003908485174
95,5.69798443716881e-06,4.060269020556007e-06,0.002039011102169752,0.002039011102169752
96,1.3601220590486206e-05,1.9882454580510966e-05,0.0038892063312232494,0.0038892063312232494
97,1.2843656648457877e-05,4.739004452858353e-06,0.002208227990195155,0.002208227990195155
98,3.5693679987388743e-06,6.633609700656962e-06,0.0026199559215456247,0.0026199559215456247
99,2.8788353263076503e-06,3.0672476896143053e-06,0.0018601444317027926,0.0018601444317027926
100,3.3342646400403023e-06,3.136915665891138e-06,0.001816189382225275,0.001816189382225275
101,2.70726732956298e-06,4.918225386063568e-06,0.002247527241706848,0.002247527241706848
102,1.3185059438112437e-05,7.315064067370258e-06,0.002602015621960163,0.002602015621960163
103,6.274707105771163e-06,3.5558155104808975e-06,0.0019803917966783047,0.0019803917966783047
104,3.959034882830106e-06,2.6468995201867074e-05,0.004811773542314768,0.004811773542314768
105,5.371920252428845e-06,3.677721679196111e-06,0.0018903511809185147,0.0018903511809185147
106,4.164203462898465e-06,6.299024789768737e-06,0.0025696372613310814,0.0025696372613310814
107,5.622336694131835e-06,6.21557819613372e-06,0.0023128665052354336,0.0023128665052354336
108,4.689269590189949e-06,4.553513917926466e-06,0.002217664383351803,0.002217664383351803
109,8.833060470825314e-06,1.181400421046419e-05,0.0032630383502691984,0.0032630383502691984
110,3.2436912147431804e-06,5.074392902315594e-06,0.0022480080369859934,0.0022480080369859934
