rollout_id,sample_index,phase_id,phase,time_in_descent_s,priority_weight,teacher_vs_des_fps,teacher_vs_error_fps,teacher_collective_residual,student_minus_teacher_collective,altitude_ft,vertical_speed_fps,position_error_ft,cross_track_ft,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,teacher_physical_0,teacher_physical_1,teacher_physical_2,teacher_physical_3,student_physical_0,student_physical_1,student_physical_2,student_physical_3
0,3265,1,descent_300_to_30,244.875,1.6583929061889648,-1.2,-0.20221926689430336,-0.32077674341300616,0.0006583929061889648,69.99851122589871,-0.9977807331056966,-0.448769854284933,0.054833110177254056,69.9985122680664,-0.9977807402610779,-0.44876986742019653,0.003093624021857977,0.05483311042189598,-0.04756280407309532,-0.000602663669269532,0.9999998211860657,-0.0063181594014167786,-0.0490276999771595,-1.5486177744605811e-06,-3.938689587812405e-07,2.6669565613701707e-06,323.9976501464844,0.5966677069664001,-0.18018579483032227,0.19123907387256622,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960089564323425,-0.1801856905221939,0.19124501943588257,0.38999998569488525,0.5966673493385315,-0.18018580973148346,0.19123868644237518,0.3899996280670166
0,3266,1,descent_300_to_30,244.95,1.659167766571045,-1.2,-0.20233001619637436,-0.320815505668731,0.0006591677665710449,69.92368182534574,-0.9976699838036256,-0.4487653912329961,0.05493378903869166,69.9236831665039,-0.9976699948310852,-0.4487653970718384,0.0030930605717003345,0.05493379011750221,-0.04755178838968277,-0.0006024616304785013,0.9999998211860657,-0.0063181789591908455,-0.04902781918644905,-1.565774709888501e-06,-3.9569999898958486e-07,2.69026645582926e-06,323.9976501464844,0.5966673493385315,-0.18018580973148346,0.19123868644237518,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960078239440918,-0.1801856905221939,0.19124466180801392,0.38999998569488525,0.5966669917106628,-0.18018579483032227,0.19123826920986176,0.3899996280670166
0,3267,1,descent_300_to_30,245.02499999999998,1.6600618362426758,-1.2,-0.20244184594902426,-0.32085464608215847,0.0006600618362426758,69.84886075293207,-0.9975581540509757,-0.44876090748931574,0.055034884315010635,69.84886169433594,-0.9975581765174866,-0.44876089692115784,0.003092498518526554,0.055034883320331573,-0.047540854662656784,-0.0006022578454576433,0.9999998211860657,-0.0063181989826262,-0.0490279383957386,-1.581183823873289e-06,-3.948428286548733e-07,2.7139449230162427e-06,323.9976501464844,0.5966669917106628,-0.18018579483032227,0.19123826920986176,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960066318511963,-0.1801856905221939,0.19124428927898407,0.38999998569488525,0.596666693687439,-0.18018577992916107,0.19123785197734833,0.3899996280670166
0,3268,1,descent_300_to_30,245.1,1.6609559059143066,-1.2,-0.20255481163839073,-0.32089418407343673,0.0006609559059143066,69.77404811932047,-0.9974451883616092,-0.4487564108312654,0.055136404503578006,69.7740478515625,-0.9974451661109924,-0.4487563967704773,0.0030919434502720833,0.05513640493154526,-0.047530002892017365,-0.0006020523142069578,0.9999998211860657,-0.006318218540400267,-0.04902805760502815,-1.6032515759434318e-06,-3.9719856204101234e-07,2.736402848313446e-06,323.9976501464844,0.596666693687439,-0.18018577992916107,0.19123785197734833,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960054397583008,-0.1801856905221939,0.19124393165111542,0.38999998569488525,0.5966663956642151,-0.18018576502799988,0.1912374347448349,0.3899996280670166
0,3269,1,descent_300_to_30,245.17499999999998,1.6618499755859375,-1.2,-0.2026689905234471,-0.32093414668320647,0.0006618499755859375,69.69924400588025,-0.9973310094765528,-0.4487518960714283,0.055238319861201944,69.6992416381836,-0.9973310232162476,-0.44875189661979675,0.0030913944356143475,0.05523832142353058,-0.04751923307776451,-0.0006018451531417668,0.9999998211860657,-0.006318238098174334,-0.049028180539608,-1.6262093822660972e-06,-4.025832822662778e-07,2.758696382443304e-06,323.9976501464844,0.5966663956642151,-0.18018576502799988,0.1912374347448349,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960042476654053,-0.1801856905221939,0.19124357402324677,0.38999998569488525,0.5966660976409912,-0.18018575012683868,0.19123701751232147,0.3899996280670166
0,3270,1,descent_300_to_30,245.25,1.6627440452575684,-1.2,-0.2027843925583256,-0.32097453739541393,0.0006627440452575684,69.62444850048905,-0.9972156074416744,-0.4487473658023191,0.055340634636707554,69.62445068359375,-0.9972156286239624,-0.4487473666667938,0.0030908493790775537,0.05534063279628754,-0.04750855267047882,-0.0006016361876390874,0.9999998211860657,-0.006318258587270975,-0.04902830347418785,-1.646503164920432e-06,-4.0875244167182245e-07,2.781732064249809e-06,323.99761962890625,0.5966660976409912,-0.18018575012683868,0.19123701751232147,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960030555725098,-0.18018567562103271,0.19124320149421692,0.38999998569488525,0.5966657996177673,-0.18018575012683868,0.19123663008213043,0.3899996280670166
0,3271,1,descent_300_to_30,245.325,1.6636381149291992,-1.2,-0.20290100596287863,-0.3210153520870075,0.0006636381149291992,69.54966169752879,-0.9970989940371213,-0.4487428200216641,0.0554433275845532,69.5496597290039,-0.997098982334137,-0.4487428069114685,0.0030903047882020473,0.055443327873945236,-0.04749796539545059,-0.0006014255341142416,0.9999998211860657,-0.006318279076367617,-0.049028430134058,-1.6583309161433135e-06,-4.1250359572586603e-07,2.805659960358753e-06,323.99761962890625,0.5966657996177673,-0.18018575012683868,0.19123663008213043,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960018038749695,-0.18018567562103271,0.19124284386634827,0.38999998569488525,0.5966654419898987,-0.18018575012683868,0.191236212849617,0.3899996280670166
0,3272,1,descent_300_to_30,245.39999999999998,1.6645917892456055,-1.2,-0.2030187081114886,-0.321056547839021,0.0006645917892456055,69.47488368162158,-0.9969812918885114,-0.44873826132004524,0.05554638595713072,69.47488403320312,-0.9969812631607056,-0.4487382471561432,0.0030897592660039663,0.05554638430476189,-0.04748747497797012,-0.0006012129597365856,0.9999998211860657,-0.006318299565464258,-0.049028556793928146,-1.667979177000234e-06,-4.1209577261724917e-07,2.8305146315688035e-06,323.99761962890625,0.5966654419898987,-0.18018575012683868,0.191236212849617,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5960005521774292,-0.18018567562103271,0.19124248623847961,0.38999998569488525,0.5966651439666748,-0.1801857352256775,0.19123578071594238,0.3899996280670166
0,3273,1,descent_300_to_30,245.475,1.6654858589172363,-1.2,-0.2031374684430599,-0.32109811395507093,0.0006654858589172363,69.40011452762292,-0.99686253155694,-0.4487336871055163,0.05564980975472334,69.40011596679688,-0.996862530708313,-0.44873368740081787,0.0030892181675881147,0.055649809539318085,-0.04747708514332771,-0.0006009986391291022,0.9999998211860657,-0.0063183200545609,-0.049028683453798294,-1.6864103145053377e-06,-4.11855921811366e-07,2.853618980225292e-06,323.99761962890625,0.5966651439666748,-0.1801857352256775,0.19123578071594238,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5959993600845337,-0.18018567562103271,0.19124211370944977,0.38999998569488525,0.5966648459434509,-0.1801857203245163,0.19123534858226776,0.3899996280670166
0,3274,1,descent_300_to_30,245.54999999999998,1.666499137878418,-1.2,-0.20325733615839625,-0.3211400676554387,0.000666499137878418,69.32535432667282,-0.9967426638416037,-0.4487290999678635,0.05575357773150619,69.32535552978516,-0.9967426657676697,-0.44872909784317017,0.0030886840540915728,0.05575357750058174,-0.04746679961681366,-0.0006007826304994524,0.9999998211860657,-0.006318340543657541,-0.04902881011366844,-1.708411332401738e-06,-4.150239760747354e-07,2.8748652312060585e-06,323.99761962890625,0.5966648459434509,-0.1801857203245163,0.19123534858226776,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5959980487823486,-0.18018567562103271,0.19124175608158112,0.38999998569488525,0.596664547920227,-0.1801857054233551,0.19123491644859314,0.3899996280670166
0,3275,1,descent_300_to_30,245.625,1.6675124168395996,-1.2,-0.20337831165414066,-0.32118240907894924,0.0006675124168395996,69.25060315688006,-0.9966216883458593,-0.44872449990566565,0.05585767714015435,69.25060272216797,-0.9966216683387756,-0.44872450828552246,0.003088155761361122,0.05585767701268196,-0.04745661839842796,-0.0006005650502629578,0.9999998211860657,-0.006318361032754183,-0.04902894049882889,-1.727550511532172e-06,-4.199355316814035e-07,2.8946344627911458e-06,323.9975891113281,0.596664547920227,-0.1801857054233551,0.19123491644859314,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5959967970848083,-0.18018566071987152,0.19124138355255127,0.38999998569488525,0.596664309501648,-0.1801857054233551,0.1912345141172409,0.3899996280670166
0,3276,1,descent_300_to_30,245.7,1.6684660911560059,-1.2,-0.20350048317918967,-0.32122516911271637,0.0006684660911560059,69.17586110612046,-0.9964995168208103,-0.4487198921017921,0.05596209523277638,69.17585754394531,-0.9964995384216309,-0.44871988892555237,0.003087627934291959,0.05596209689974785,-0.047446541488170624,-0.0006003460730426013,0.9999998211860657,-0.006318381987512112,-0.04902907460927963,-1.7410850432497682e-06,-4.234091193211498e-07,2.9126397294021444e-06,323.9975891113281,0.596664309501648,-0.1801857054233551,0.1912345141172409,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5959955453872681,-0.18018566071987152,0.19124102592468262,0.38999998569488525,0.5966640114784241,-0.1801857054233551,0.19123409688472748,0.3899996280670166
0,3277,1,descent_300_to_30,245.77499999999998,1.6694793701171875,-1.2,-0.20362383803385442,-0.32126834331184906,0.0006694793701171875,69.10112826552904,-0.9963761619661455,-0.44871526618823054,0.05606683625961346,69.10112762451172,-0.9963761568069458,-0.4487152695655823,0.00308709847740829,0.056066837161779404,-0.04743657633662224,-0.000600125698838383,0.9999998211860657,-0.0063184029422700405,-0.04902920499444008,-1.7515743593321531e-06,-4.2368401409476064e-07,2.9308760076673934e-06,323.9975891113281,0.5966640114784241,-0.1801857054233551,0.19123409688472748,0.3899996280670166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.595994234085083,-0.18018566071987152,0.19124066829681396,0.38999998569488525,0.5966637134552002,-0.1801856905221939,0.19123366475105286,0.3899996280670166
