hover_trim,lateral_kp,lateral_kd,same_fdm_object,sim_clock_reset,safe,termination_reason,lateral_activated,activation_forward_ft,activation_forward_speed_fps,activation_cross_ft,endpoint_hover_5s,persistent_stop_at_final,persistent_lateral_at_final,persistent_hover_at_final,current_stop_hold_s,current_lateral_hold_s,current_full_hover_hold_s,max_stop_hold_s,max_lateral_hold_s,max_full_hover_hold_s,presentation_cross_pass,presentation_altitude_pass,teacher_pass,final_forward_ft,final_position_error_ft,final_forward_speed_fps,final_cross_ft,final_lateral_speed_fps,final_alt_ft,final_vs_fps,final_heading_error_deg,max_cross_ft,min_alt_ft,max_alt_ft,max_abs_pitch_deg,max_abs_roll_deg,max_abs_heading_error_deg,action2_min,action2_max
-0.059816740100913215,0.015,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.7026408199525,-1.702640819952478,0.45923424308445604,-3.2923352353389825,-0.1908358933965621,299.3463289736146,0.012023807374635662,0.0971447772260902,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.199944553167027,-0.23000000417232513,0.008427274413406849
-0.059816740100913215,0.015,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.7141315009852,-1.7141315009852178,0.4607434149917008,-3.1345931821160415,-0.15118382257983376,299.34820992214463,0.012072561978653711,0.10358535308415996,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.19895672396218916,-0.23000000417232513,0.014232157729566097
-0.059816740100913215,0.015,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.72090237603146,-1.7209023760314608,0.46166311687149064,-2.990542162460296,-0.12354049616408873,299.3498315650686,0.012103403717086594,0.10795719897718667,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.19781981014164168,-0.23000000417232513,0.017004314810037613
-0.059816740100913215,0.025,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.70174753562287,-1.7017475356228715,0.4610120247776529,-2.6648317377539166,-0.1739406239954353,299.34583976379827,0.012231996270330992,0.09930096275644595,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.2089425226848013,-0.23000000417232513,0.023901566863059998
-0.059816740100913215,0.025,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.71513259200174,-1.715132592001737,0.4621244483219069,-2.453773112158093,-0.13022412747393586,299.34839218791285,0.012245270527467945,0.10627899528291927,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.20700089281407189,-0.23000000417232513,0.024757910519838333
-0.059816740100913215,0.025,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.7565095190409,-1.7565095190408897,0.46076544548070897,-2.3042173378518154,-0.10237065577503533,299.3513707426414,0.012274446596182443,0.11062349379545335,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.20502888461464153,-0.23000000417232513,0.024239901453256607
-0.059816740100913215,0.035,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.70395286964276,-1.7039528696427624,0.4633476652103233,-2.534748232507128,-0.14798419288403003,299.34531570903164,0.012622226355859465,0.10358431390259755,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21732541805151637,-0.23000000417232513,0.043392859399318695
-0.059816740100913215,0.035,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.75199291819547,-1.7519929181954694,0.4615617985173104,-2.193599861314756,-0.10773984779099176,299.34929137423705,0.012583433707807644,0.10972533396836834,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21448378591529418,-0.23000000417232513,0.04111528769135475
-0.059816740100913215,0.035,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.75780768561657,-1.7578076856165694,0.46154384274550264,-1.9615105047429504,-0.08481108761963288,299.3516306429483,0.012492503375627463,0.11310803900623882,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21171124960072998,-0.23000000417232513,0.0478227324783802
-0.059816740100913215,0.045,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.74791325881756,-1.7479132588175617,0.4639951664885432,-2.5363417303608795,-0.09426366366836307,299.34699583027214,0.01321865802063218,0.11253909839232376,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9252705388736007,0.22510117029931823,-0.23000000417232513,0.063568115234375
