forward_ft,position_error_ft,cross_track_ft,altitude_ft,forward_speed_fps,lateral_speed_fps,mission_ground_forward_speed_fps,mission_ground_cross_speed_fps,vertical_speed_fps,pitch_deg,roll_deg,pitch_rate_rad_s,heading_error_deg,physical_collective_cmd,physical_elevator_cmd,physical_aileron_cmd,physical_rudder_cmd,time_s,lateral_mode_active,stop_now,lateral_now,hover_now,stop_hold_s,lateral_hold_s,full_hover_hold_s,v_des_fps,collective_correction,elevator_residual,lateral_correction,raw_aileron_action,action0,action1,action2,action3
81.43138133625236,218.56861866374766,-3.4790021976181706,298.6477209252348,10.240412376305338,-0.15537609403198047,10.244839425130776,-0.1813877005546026,0.24561931450978874,-0.8180604085855905,-2.7308923425539615,0.005994312279845888,-0.039949670527997805,0.6122046360373496,-0.1795196256041527,0.18496999989151955,0.39,0.075,False,False,True,False,0.0,0.075,0.0,9.0,0.2337422440384529,-1.0,0.0,-0.23,-0.25984546542167664,-0.9862750172615051,-0.23000000417232513,0.0
82.20021522222247,217.79978477777752,-3.4924961418022042,298.6672309783844,10.25768054158372,-0.15118985049687014,10.262257774410454,-0.17861642394786634,0.2755072887279227,-0.7802837463624667,-2.7361208312718177,0.011709449070594442,-0.04136881837154058,0.612115103006363,-0.1795196256041527,0.18496999989151955,0.39,0.15,False,False,True,False,0.0,0.15,0.0,9.0,0.2310940545017811,-1.0,0.0,-0.23,-0.26282989978790283,-0.9862750172615051,-0.23000000417232513,0.0
82.97042663106407,217.02957336893593,-3.5058035051734078,298.68911915339686,10.277183021095173,-0.14755712312919564,10.28177759169613,-0.1763612948893179,0.3084162319100992,-0.7245508564941566,-2.7464551150440637,0.013858044189348691,-0.04236944945369925,0.612020383477211,-0.1795196256041527,0.18496999989151955,0.39,0.22499999999999998,False,False,True,False,0.0,0.22499999999999998,0.0,9.0,0.22692219600111743,-1.0,0.0,-0.23,-0.26598721742630005,-0.9862750172615051,-0.23000000417232513,0.0
83.74212293143005,216.25787706856994,-3.5189554624233583,298.71351198127377,10.297086647595119,-0.14456689632668365,10.301626319959786,-0.17446452980895058,0.34209240143738096,-0.6649582479579124,-2.757356281998732,0.013585058448390515,-0.04169769622419867,0.611917310655117,-0.1795196256041527,0.18496999989151955,0.39,0.3,False,False,True,False,0.0,0.3,0.0,9.0,0.2223164775688823,-1.0,0.0,-0.23,-0.2694229781627655,-0.9862750172615051,-0.23000000417232513,0.0
84.51524021103067,215.4847597889693,-3.5319778114043565,298.7404300280232,10.315192504251566,-0.14229645759329806,10.319644628466238,-0.1728994954930184,0.37565055829805827,-0.6079682123101495,-2.766519402005896,0.012771443981755663,-0.038832885847565675,0.611800782084465,-0.1795196256041527,0.18496999989151955,0.39,0.375,False,False,True,False,0.0,0.375,0.0,9.0,0.21754355238930123,-1.0,0.0,-0.23,-0.27330726385116577,-0.9862750172615051,-0.23000000417232513,0.0
85.28960419445816,214.71039580554185,-3.5448937629511064,298.7698447414232,10.330721595297842,-0.14072254406928583,10.335056220076165,-0.17161589747471667,0.4086121356181156,-0.5539923612661012,-2.7741357821809567,0.012202757727746726,-0.03374772194375638,0.6116814202070237,-0.1795196256041527,0.18496999989151955,0.39,0.44999999999999996,False,False,True,False,0.0,0.45,0.0,9.0,0.21270903216353748,-1.0,0.0,-0.23,-0.27728599309921265,-0.9862750172615051,-0.23000000417232513,0.0
86.06501992145026,213.93498007854976,-3.5577218898611123,298.80170087872466,10.343764565177324,-0.13976726566127443,10.347943268132276,-0.17054651172504923,0.440728780328659,-0.5018046639561277,-2.7808630944380597,0.011893467414088817,-0.026607489746686603,0.6115636229515076,-0.1795196256041527,0.18496999989151955,0.39,0.525,False,False,True,False,0.0,0.525,0.0,9.0,0.20787120148313054,-1.0,0.0,-0.23,-0.28121256828308105,-0.9862750172615051,-0.23000000417232513,0.0
86.84130790739384,213.15869209260615,-3.5704760926034886,298.8359306589441,10.354574864361869,-0.13934789633873942,10.35855498046012,-0.1696365109439721,0.47190127025166956,-0.45062665887763403,-2.7869864354031075,0.011675944097861803,-0.017622449950562367,0.6114461824297905,-0.1795196256041527,0.18496999989151955,0.39,0.6,False,False,True,False,0.0,0.6,0.0,9.0,0.2030615199988211,-1.0,0.0,-0.23,-0.2851272523403168,-0.9862750172615051,-0.23000000417232513,0.0
87.61830412764898,212.38169587235103,-3.5831667253309645,298.87246211304273,10.363300844329185,-0.13938627093443443,10.367041195907067,-0.16884513951940508,0.502105918284875,-0.40029704036568514,-2.7925275822786397,0.011453456412405728,-0.007015707145167556,0.6113279041647911,-0.1795196256041527,0.18496999989151955,0.39,0.6749999999999999,False,False,True,False,0.0,0.6749999999999999,0.0,9.0,0.19829392780147645,-1.0,0.0,-0.23,-0.28906986117362976,-0.9862750172615051,-0.23000000417232513,0.0
88.39585192736082,211.6041480726392,-3.595801385330133,298.91122268947083,10.369995608748463,-0.1398043499644308,10.3734589108257,-0.16813849880336487,0.5313458881149856,-0.3508999715191656,-2.797459373820707,0.011209494139593358,0.004971122721765519,0.6112087380886078,-0.1795196256041527,0.18496999989151955,0.39,0.75,False,False,True,False,0.0,0.7499999999999999,0.0,9.0,0.19357342641453312,-1.0,0.0,-0.23,-0.29304206371307373,-0.9862750172615051,-0.23000000417232513,0.0
