time,distance,ground_forward,cross,altitude,vertical_speed,lateral_velocity,heading_error_deg,roll_deg,a0,a1,a2,a3
0.075,0.0008272107899063214,0.0005929201726418984,-0.0002186686591075855,298.62793299921395,0.03823289114680082,-0.001183360448280248,0.28340765797006817,-2.857699302593523,-0.33561649918556213,-0.02138933725655079,-0.23000000417232513,0.0
0.15,0.0022834993190771367,0.001757102551198848,-0.0004475041122275222,298.6307590575925,0.03732053806656612,-0.0012287763145164385,0.28379690642539335,-2.8651363166222077,-0.33329811692237854,-0.021806159988045692,-0.23000000417232513,0.0
0.22499999999999998,0.004166366897386618,0.0034546025066909897,-0.0006694590399609011,298.6335518494493,0.037256806635152497,-0.0011981461802620635,0.28537664817566394,-2.8694402950501057,-0.3319259285926819,-0.022564580664038658,-0.23000000417232513,0.0
0.3,0.006398634876497958,0.00552439431302301,-0.0008967575303732468,298.63635656493216,0.03756533692131427,-0.0014025542154747557,0.28744779697366113,-2.8709104482153123,-0.3326125144958496,-0.022723788395524025,-0.23000000417232513,0.0
0.375,0.009087179828353508,0.007989131563769921,-0.0011458928481247446,298.63918913636326,0.037975743450636375,-0.0017699801891605008,0.28963564428199934,-2.8728428162876485,-0.3330681025981903,-0.022500155493617058,-0.23000000417232513,0.0
0.44999999999999996,0.012408979978736204,0.010999894181944303,-0.0014258173746400334,298.6420533615137,0.038403880409287265,-0.002242250808381861,0.2918758786960061,-2.8757831662220164,-0.3332355320453644,-0.0222011748701334,-0.23000000417232513,0.0
0.525,0.016536017173171737,0.014734378445482808,-0.0017440799444904881,298.6449494716326,0.03882253913138288,-0.0028373466380345273,0.294194861435705,-2.879014708838041,-0.333478718996048,-0.02194693312048912,-0.23000000417232513,0.0
0.6,0.021619847141271784,0.0193541365240709,-0.002110012253910541,298.647876074137,0.039214396579822855,-0.0035766379801139246,0.2965936314235322,-2.8821407404605304,-0.3338121473789215,-0.02173619158565998,-0.23000000417232513,0.0
0.6749999999999999,0.0277996028921572,0.025003718571107027,-0.0025338704471737786,298.6508307318386,0.03956948085410543,-0.004463911001597774,0.2990356210314001,-2.885141698013939,-0.3341606557369232,-0.021540442481637,-0.23000000417232513,0.0
0.75,0.03520981377042724,0.031819566500212074,-0.00302584604604759,298.6538104933902,0.0398834402527301,-0.005495259045436955,0.3014677759519929,-2.8880780771299377,-0.33450496196746826,-0.021343257278203964,-0.23000000417232513,0.0
