rollout_id,entry_forward_ft,entry_max_speed_fps,actual_handoff_forward_ft,actual_handoff_forward_speed_fps,actual_handoff_cross_track_ft,actual_handoff_altitude_ft,actual_handoff_stage3_elapsed_s,valid_for_dataset,pass,same_fdm,clock_reset_on_attach,presentation_pass,samples,contact_altitude_ft,contact_vertical_speed_fps,contact_collective,landed_hold_s,final_position_error_ft,final_cross_track_ft,final_forward_speed_fps,final_lateral_speed_fps,final_wow,bounce
0,294.0,1.0,294.03485095776705,0.8893615510209988,2.039858184092919,299.25488448678016,50.324999999999996,True,True,True,False,True,7974,6.764561399282684,-0.023917506029706773,0.5412943686705687,5.025000000000007,2.297751400066602,-1.3212735079881834,0.054097943101895495,-0.019242924583377438,True,False
1,295.0,1.0,295.006088741663,0.8374618632588962,1.927621758216946,299.25564923669435,51.449999999999996,True,True,True,False,True,7963,6.764558081022187,-0.024389368392549467,0.5413002424610596,5.025000000000007,2.3040486125107122,-1.320752312697081,0.05477230881454562,-0.019578851125851667,True,False
2,296.0,1.0,296.0378864676223,0.7811836658218587,1.7704838774112754,299.2582317289525,52.725,True,True,True,False,True,7951,6.764280218100339,-0.022563676740706463,0.5412910619526606,5.025000000000007,2.3004773972216412,-1.3253154039471975,0.054690119374294646,-0.018176346892413268,True,False
3,297.0,1.0,297.0540129400721,0.724259123124076,1.5736485357050893,299.2629906567395,54.074999999999996,True,True,True,False,True,7937,6.7640774712576786,-0.021531724948522617,0.5412909907957754,5.025000000000007,2.3002032511035395,-1.324648544838417,0.054739310769256186,-0.017982746170210527,True,False
4,298.0,1.0,298.04537450719005,0.6672960959238694,1.3367930720571068,299.2701710074866,55.5,True,True,True,False,True,7922,6.763861969568097,-0.020656062030028354,0.5412957181767166,5.025000000000007,2.302057219127107,-1.3196877377047003,0.05479222017483083,-0.018585323272463157,True,False
5,299.0,1.0,299.00450452969176,0.6119148036692601,1.0619437289865221,299.28020736679673,57.0,True,True,True,False,True,7904,6.764488695853288,-0.023989588594919047,0.5412983042365663,5.025000000000007,2.30379087534601,-1.3222028674805497,0.054840194148070384,-0.019174314233898117,True,False
