time_s,forward_ft,position_error_ft,forward_speed_fps,cross_track_ft,lateral_speed_fps,altitude_ft,vertical_speed_fps,heading_error_deg,pitch_deg,roll_deg,action0,action1,action2,action3,physical_aileron_cmd,stop_hold_s,lateral_hold_s,full_hover_hold_s
0.075,81.43142128168283,218.56857871831716,10.241926606809754,-3.4789986199841225,-0.1552091173672208,298.64773187874516,0.2460844844155606,-0.0398980111687608,-0.8194287730552774,-2.7304414829114045,-0.24459917843341827,-0.7193430662155151,-0.17819257080554962,0.0020026827696710825,0.18631699315905573,0.0,0.075,0.0
0.15,82.20044798198364,217.79955201801636,10.260970092191867,-3.4924706130950356,-0.15066661741290455,298.6673200511582,0.2771847453047763,-0.04098469340969279,-0.7893252684325449,-2.732939158133223,-0.25245773792266846,-0.8030818104743958,-0.183927983045578,0.001922555617056787,0.18616787244081498,0.0,0.15,0.0
0.22499999999999998,82.9709322171429,217.0290677828571,10.280645505204438,-3.5057315975127152,-0.1466883469687601,298.68937904964923,0.31119946387323183,-0.04150992104185353,-0.7435404067791864,-2.7396088822586364,-0.263497531414032,-0.9172133803367615,-0.21068355441093445,0.0018083391478285193,0.1854722275853157,0.0,0.22499999999999998,0.0
0.3,83.74288617451425,216.25711382548576,10.300069487516062,-3.5188138847887913,-0.14340083410641666,298.71400121379975,0.34529157119264164,-0.04050441582419805,-0.6901806794052692,-2.7485941457871186,-0.2718828320503235,-0.9814358949661255,-0.2339158058166504,0.0017250659875571728,0.1848681890487671,0.0,0.3,0.0
0.375,84.51624199128703,215.48375800871298,10.318198000740491,-3.5317440371834508,-0.14084792750068148,298.7411523813521,0.378567731130021,-0.03754515707322982,-0.634532274979585,-2.7581214182745,-0.27823710441589355,-1.0,-0.24497048556804657,0.0016734610544517636,0.1845807673752308,0.0,0.375,0.0
0.44999999999999996,85.29087397152725,214.70912602847275,10.334456112950164,-3.5445454408033723,-0.139003254988482,298.77076040761995,0.4107947954872569,-0.032543281605957895,-0.5791873974351545,-2.767225155174851,-0.2835361361503601,-1.0,-0.24798141419887543,0.0016400396125391126,0.18450248323082924,0.0,0.45,0.0
0.525,86.06662638440926,213.93337361559074,10.348555099524727,-3.557238219407593,-0.13780509262010046,298.80274526955554,0.4419542576997145,-0.025587733549141293,-0.5251162634709022,-2.7754905457279375,-0.28833597898483276,-1.0,-0.24686120450496674,0.0016141962260007858,0.18453160868287088,0.0,0.525,0.0
0.6,86.84333004620329,213.15666995379672,10.360411993988404,-3.569839227720988,-0.13717761199002185,298.83702766978604,0.47206552444260985,-0.01686469490113914,-0.47238998996312176,-2.782821215117025,-0.2929617166519165,-1.0,-0.24401013553142548,0.001589407678693533,0.18460573647618295,0.0,0.6,0.0
0.6749999999999999,87.6208154754389,212.37918452456108,10.370074359957247,-3.582362057120671,-0.13703705670119376,298.87352958329075,0.5011435612102404,-0.006606768725246556,-0.42082598573119834,-2.7892650783887176,-0.29755377769470215,-1.0,-0.2408396154642105,0.0015631597489118576,0.18468816999793053,0.0,0.6749999999999999,0.0
0.75,88.39891833640831,211.60108166359169,10.377615386366674,-3.594817150956662,-0.1372961519666529,298.91217403939527,0.5292028998590924,0.004931869093901461,-0.3703059538004182,-2.7948926343955023,-0.30211493372917175,-1.0,-0.23783473670482635,0.0015357378870248795,0.18476629684567453,0.0,0.7499999999999999,0.0
0.825,89.17747946766251,210.82252053233748,10.383092759030935,-3.6072119660211155,-0.13786734564210873,298.9528852975204,0.5562612275722965,0.017483050151897522,-0.32080621333034015,-2.799756838762573,-0.30661457777023315,-1.0,-0.23498477041721344,0.0015079595614224672,0.18484039596915247,0.0,0.8249999999999998,0.0
0.8999999999999999,89.95634368181075,210.04365631818925,10.38654974827606,-3.61955129110032,-0.13866448216060212,298.99558899030126,0.582338060576106,0.030767311777641394,-0.2723416335726211,-2.8038979677822864,-0.3110363483428955,-1.0,-0.23221229016780853,0.0014802662190049887,0.184912480455637,0.0,0.8999999999999998,0.0
0.975,90.73535902154177,209.26464097845823,10.388025257508648,-3.631837535832782,-0.13960379958773445,299.0402122440687,0.6074524649311275,0.04449742491683145,-0.224927113762532,-2.80735541562389,-0.3153795003890991,-1.0,-0.2295183688402176,0.0014527703169733286,0.18498252241015434,0.0,0.9749999999999998,0.0
1.05,91.51437667145677,208.48562332854323,10.38755919155737,-3.6440710408845063,-0.14060486050999974,299.08668353560506,0.6316219875696096,0.058383325971679834,-0.178568678039449,-2.8101731824978167,-0.3196489214897156,-1.0,-0.2269650548696518,0.0014254506677389145,0.18504890857338907,0.0,1.0499999999999998,0.0
